Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,277.95,-128.83,180.0,top
C2,1uF,C_0402_1005Metric,277.96,-127.84,180.0,top
C3,1uF,C_0402_1005Metric,284.35,-127.76,0.0,top
C4,100nF,C_0402_1005Metric,284.35,-128.78,0.0,top
C5,4.7uF,C_0402_1005Metric,244.68,-129.52,0.0,top
C6,100nF,C_0402_1005Metric,244.68,-130.54,0.0,top
C7,1uF,C_0402_1005Metric,242.875,-107.5,180.0,top
C8,1uF,C_0402_1005Metric,242.875,-113.0,0.0,top
C9,100nF,C_0402_1005Metric,241.46,-125.55,0.0,top
C10,100nF,C_0402_1005Metric,244.22,-95.52,0.0,top
C11,10nF,C_0402_1005Metric,241.46,-126.57,180.0,top
C12,1uF,C_0402_1005Metric,241.46,-127.59,180.0,top
C13,4.7nF,C_0402_1005Metric,224.9,-93.52,180.0,top
C14,100nF,C_0402_1005Metric,262.31,-114.99,-90.0,top
C15,4.7nF,C_0402_1005Metric,241.875,-157.15,0.0,top
C16,10uF,C_0402_1005Metric,243.875,-152.32,180.0,top
D1,RB060M-60TR,D_SOD-123,241.55,-106.84,180.0,bottom
D2,SMF9.0CA,D_SOD-123,243.0,-104.43,0.0,bottom
D3,1N4148,D_SOD-123,242.875,-151.86,180.0,bottom
D4,1N4148,D_SOD-123,130.99,-101.41,180.0,bottom
D5,1N4148,D_SOD-123,188.02,-101.59,180.0,bottom
D6,1N4148,D_SOD-123,228.41,-102.96,0.0,bottom
F1,1.5A Trip PTC,Fuse_1812_4532Metric,244.75,-100.04,-90.0,bottom
IR1,IR12-21C_TR8,IR12-21C_TR8,97.1,-103.75,-90.0,top
IR2,IR12-21C_TR8,IR12-21C_TR8,116.15,-103.75,-90.0,top
IR3,IR12-21C_TR8,IR12-21C_TR8,135.2,-103.75,-90.0,top
IR4,IR12-21C_TR8,IR12-21C_TR8,154.25,-103.75,-90.0,top
IR5,IR12-21C_TR8,IR12-21C_TR8,173.3,-103.75,-90.0,top
IR6,IR12-21C_TR8,IR12-21C_TR8,192.35,-103.75,-90.0,top
IR7,IR12-21C_TR8,IR12-21C_TR8,211.4,-103.75,-90.0,top
IR8,IR12-21C_TR8,IR12-21C_TR8,230.45,-103.75,-90.0,top
IR9,IR12-21C_TR8,IR12-21C_TR8,249.5,-103.75,-90.0,top
IR10,IR12-21C_TR8,IR12-21C_TR8,268.55,-103.75,-90.0,top
IR11,IR12-21C_TR8,IR12-21C_TR8,287.6,-103.75,-90.0,top
IR12,IR12-21C_TR8,IR12-21C_TR8,306.65,-103.75,-90.0,top
IR13,IR12-21C_TR8,IR12-21C_TR8,325.7,-103.75,-90.0,top
IR14,IR12-21C_TR8,IR12-21C_TR8,344.75,-103.75,-90.0,top
IR15,IR12-21C_TR8,IR12-21C_TR8,97.1,-122.8,-90.0,top
IR16,IR12-21C_TR8,IR12-21C_TR8,116.15,-122.8,-90.0,top
IR17,IR12-21C_TR8,IR12-21C_TR8,135.2,-122.8,-90.0,top
IR18,IR12-21C_TR8,IR12-21C_TR8,154.25,-122.8,-90.0,top
IR19,IR12-21C_TR8,IR12-21C_TR8,173.3,-122.8,-90.0,top
IR20,IR12-21C_TR8,IR12-21C_TR8,192.35,-122.8,-90.0,top
IR21,IR12-21C_TR8,IR12-21C_TR8,211.4,-122.8,-90.0,top
IR22,IR12-21C_TR8,IR12-21C_TR8,230.45,-122.8,-90.0,top
IR23,IR12-21C_TR8,IR12-21C_TR8,249.5,-122.8,-90.0,top
IR24,IR12-21C_TR8,IR12-21C_TR8,268.55,-122.8,-90.0,top
IR25,IR12-21C_TR8,IR12-21C_TR8,287.6,-122.8,-90.0,top
IR26,IR12-21C_TR8,IR12-21C_TR8,306.65,-122.8,-90.0,top
IR27,IR12-21C_TR8,IR12-21C_TR8,325.7,-122.8,-90.0,top
IR28,IR12-21C_TR8,IR12-21C_TR8,344.75,-122.8,-90.0,top
IR29,IR12-21C_TR8,IR12-21C_TR8,94.71875,-141.85,-90.0,top
IR30,IR12-21C_TR8,IR12-21C_TR8,116.15,-141.85,-90.0,top
IR31,IR12-21C_TR8,IR12-21C_TR8,135.2,-141.85,-90.0,top
IR32,IR12-21C_TR8,IR12-21C_TR8,154.25,-141.85,-90.0,top
IR33,IR12-21C_TR8,IR12-21C_TR8,173.3,-141.85,-90.0,top
IR34,IR12-21C_TR8,IR12-21C_TR8,192.35,-141.85,-90.0,top
IR35,IR12-21C_TR8,IR12-21C_TR8,211.4,-141.85,-90.0,top
IR36,IR12-21C_TR8,IR12-21C_TR8,230.45,-141.85,-90.0,top
IR37,IR12-21C_TR8,IR12-21C_TR8,249.5,-141.85,-90.0,top
IR38,IR12-21C_TR8,IR12-21C_TR8,268.55,-141.85,-90.0,top
IR39,IR12-21C_TR8,IR12-21C_TR8,287.6,-141.85,-90.0,top
IR40,IR12-21C_TR8,IR12-21C_TR8,306.65,-141.85,-90.0,top
IR41,IR12-21C_TR8,IR12-21C_TR8,325.7,-141.85,-90.0,top
IR42,IR12-21C_TR8,IR12-21C_TR8,347.13125,-141.85,-90.0,top
IR43,IR12-21C_TR8,IR12-21C_TR8,94.71875,-160.9,-90.0,top
IR44,IR12-21C_TR8,IR12-21C_TR8,116.15,-160.9,-90.0,top
IR45,IR12-21C_TR8,IR12-21C_TR8,135.2,-160.9,-90.0,top
IR46,IR12-21C_TR8,IR12-21C_TR8,154.25,-160.9,-90.0,top
IR47,IR12-21C_TR8,IR12-21C_TR8,173.3,-160.9,-90.0,top
IR48,IR12-21C_TR8,IR12-21C_TR8,192.35,-160.9,-90.0,top
IR49,IR12-21C_TR8,IR12-21C_TR8,211.4,-160.9,-90.0,top
